佐藤漫画製作所,17冊
文苑堂,2冊
健康マネジメント,1冊
KADOKAWA / アスキー・メディアワークス,2冊
-------,12冊
MAX/大洋図書,1冊
DeNA,2冊
学研プラス,12冊
ソルマーレ編集部,5冊
ピンクパイナップル,1冊
BCCKS Distribution,1冊
ゴマブックス株式会社,7冊
日本文芸社,87冊
楽楽出版,5冊
クリエイティブエンタテインメント,1冊
幻冬舎,5冊
キルタイムコミュニケーション,3冊
KADOKAWA / 富士見書房,3冊
キリブックス,5冊
クリーク・アンド・リバー社,2冊
MAX／大洋図書,4冊
海王社,4冊
フューチャーコミックス,5冊
らいとすたっふ,1冊
プレジデント社,1冊
eternal,2冊
東村ジャパン,5冊
秋田書店,395冊
三和出版,16冊
日経BP社,3冊
激ちゅぱっ,1冊
小池書院,1冊
NHK出版,1冊
富士美出版株式会社,13冊
PHP研究所,1冊
ぶんか社,7冊
三才ブックス,2冊
松文館,6冊
太田出版,19冊
小学館,489冊
クロエ出版/大洋図書,4冊
ビーグリー,1冊
クロエ出版/大洋図書,4冊
リイド社,29冊
SCC,1冊
アース・スター エンターテイメント,5冊
HIMEクリピンク,4冊
小学館,489冊
白泉社,116冊
復刊ドットコム,2冊
文苑堂,2冊
芳文社,91冊
ブリック出版,1冊
青林堂ビジュアル,1冊
講談社,1024冊
幻冬舎,5冊
キルタイムコミュニケーション,3冊
インプレス,2冊
-------,12冊
秋田書店,395冊
一迅社,15冊
DeNA,2冊
東洋経済新報社,2冊
KATTS,3冊
ユナイテッド・ブックス,1冊
電書バト,2冊
コアミックス,11冊
MAX/大洋図書,1冊
アイロゴス,1冊
WINGSプロジェクト,1冊
ジーオーティー,15冊
楽楽出版,5冊
PHP研究所,1冊
クリーク・アンド・リバー社,2冊
秋水社ORIGINAL,1冊
小池書院,1冊
KADOKAWA,356冊
コアマガジン/ホットミルクコミックス,4冊
日経BP,4冊
エブリスタ,3冊
鉄人社,8冊
NHK出版,1冊
フューチャーコミックス,5冊
株式会社メディアソフト,1冊
MAX／大洋図書,4冊
茜新社,9冊
学研プラス,12冊
株式会社ディケイド,3冊
幻冬舎コミックス,25冊
新潮社,80冊
光文社,1冊
ISSUISHA,2冊
すばる舎,2冊
少年画報社,36冊
たかだ書房,1冊
早川書房,1冊
らいとすたっふ,1冊
ジーウォーク,10冊
CCCメディアハウス,1冊
ゴマブックス株式会社,7冊
翔泳社,9冊
BCCKS Distribution,1冊
スクリーモ,1冊
東村ジャパン,5冊
,9冊
イースト・プレス,6冊
日本文芸社,87冊
ぶんか社,7冊
メディアックス,1冊
